학교명,위도,경도,설립형태,소재지도로명주소
봉원중학교,37.48410274,126.9588909,공립,서울특별시 관악구 관악로24가길 15
남사중학교,37.11610922,127.1493131,사립,경기도 용인시 처인구 남사읍 내기로 27
대부중학교,37.24776227,126.5790618,공립,경기도 안산시 단원구 대부중앙로 3
상계중학교,37.65260154,127.0689222,공립,서울특별시 노원구 노원로 398
문현중학교,37.48058417,127.1279464,공립,서울특별시 송파구 충민로 99
홍천중학교,37.32110222,127.076475,공립,경기도 용인시 수지구 신봉1로71번길 36
송라중학교,37.65460152,127.3029538,공립,경기도 남양주시 화도읍 마석로45번길 31
휘경여자중학교,37.58190052,127.0674341,사립,서울특별시 동대문구 한천로 247
수동중학교,37.70912577,127.324817,사립,경기도 남양주시 수동면 비룡로 790-22
남양중학교,37.20792368,126.8215994,공립,경기도 화성시 남양읍 시청로45번길 9-12
경안중학교,37.39510409,127.2469066,공립,경기도 광주시 장지1길 6
태장중학교,37.24899233,127.0651888,공립,경기도 수원시 영통구 봉영로1517번길 45
율곡중학교,37.8493834,126.8811406,사립,경기도 파주시 법원읍 사임당로905번길 10
문일중학교,37.44891526,126.8987207,사립,서울특별시 금천구 시흥대로47길 45
영일중학교,37.2496833,127.0758513,공립,경기도 수원시 영통구 매영로 393
호매실중학교,37.26848379,126.955446,공립,경기도 수원시 권선구 금호로 32
이충중학교,37.059522,127.0689900064,공립,경기도 평택시 이충로35번길 5
지평중학교,37.47447401,127.6345589,공립,경기도 양평군 지평면 지평로 418
서울대학교사범대학부설중학교,37.59582047,127.0391333,국립,서울특별시 성북구 월곡로 36
반월중학교,37.30459717,126.8992679,공립,경기도 안산시 상록구 남산평길 25
경화여자중학교,37.41824307,127.2639914,사립,경기도 광주시 수하길11번길 43
석촌중학교,37.50145499,127.1211174,공립,서울특별시 송파구 송이로15길 13
양오중학교,37.69767148,127.193132,공립,경기도 남양주시 오남읍 양지로 261-31
서문여자중학교,37.48891973,126.984562,사립,서울특별시 서초구 동광로12길 84
정평중학교,37.31807594,127.087803,공립,경기도 용인시 수지구 정평로 21
송우중학교,37.83562657,127.1444797,공립,경기도 포천시 소흘읍 송선로 18
구리중학교,37.58969179,127.1408316,공립,경기도 구리시 장자대로 89-1
강빛중학교,37.57434332,127.1707749,공립,서울특별시 강동구 아리수로93다길 1
동탄중학교,37.19901116,127.1090809,공립,경기도 화성시 동탄대로시범길 97
파주광일중학교,37.77510483,126.7860208,사립,경기도 파주시 월롱면 함영골길 10
분진중학교,37.7192687,126.5529611,사립,경기도 김포시 월곶면 애기봉로11번길 86
덕정중학교,37.84260316,127.0640053,공립,경기도 양주시 화합로 1397
두레자연중학교,37.059353,126.7957492,사립,경기도 화성시 우정읍 두레길 42
정화여자중학교,37.58604864,127.041008,사립,서울특별시 동대문구 홍릉로15길 50
운암중학교,37.14588366,127.0769292,공립,경기도 오산시 대원로 76
항동중학교,37.48285456,126.8201900079,공립,서울특별시 구로구 연동로 239-2
산내중학교,37.72307111,126.7408401,공립,경기도 파주시 산내로 15
장자중학교,37.58583837,127.1351764,공립,경기도 구리시 장자호수길 45
풍동중학교,37.67083031,126.7996206,공립,경기도 고양시 일산동구 숲속마을1로 101
솔빛중학교,37.19618958,127.0722732,공립,경기도 화성시 동탄반석로 83
일산양일중학교,37.67683594,126.8155141,공립,경기도 고양시 일산동구 위시티3로 47
천천중학교,37.30024941,126.981025,공립,경기도 수원시 장안구 정자로42번길 16
장내중학교,37.64209873,127.233239,공립,경기도 남양주시 평내로 37
태광중학교,37.07380166,127.0534992,사립,경기도 평택시 탄현1로 155
대경중학교,37.8266815,127.139571,공립,경기도 포천시 소흘읍 봉솔로 23
광동중학교,37.71675577,127.1751688,사립,경기도 남양주시 진접읍 장현로광동1길 10
선부중학교,37.34481476,126.8151367,공립,경기도 안산시 단원구 달미로 95
용이중학교,36.99799756,127.135088,공립,경기도 평택시 현신로 64
경민중학교,37.74612458,127.025164,사립,경기도 의정부시 서부로 545
덕산중학교,37.6022574,126.9046771,공립,서울특별시 은평구 가좌로 400
한수중학교,37.66990116,126.7561898,공립,경기도 고양시 일산서구 주엽로 117
진건중학교,37.65428897,127.178325,공립,경기도 남양주시 진건읍 진건오남로 39
호평중학교,37.65602471,127.2492539,공립,경기도 남양주시 호평로 76-7
호곡중학교,37.70159366,126.7685069,공립,경기도 고양시 일산서구 탄현로 110
기산중학교,37.219205,127.052447,공립,경기도 화성시 동탄지성로 286
태랑중학교,37.62698409,127.0913718,공립,서울특별시 노원구 화랑로51나길 51
광명북중학교,37.48714374,126.8657712,공립,경기도 광명시 시청로 121
위례솔중학교,37.48701307,127.1505867,공립,서울특별시 송파구 위례북로2길 10
안중중학교,36.98699168,126.9232225,사립,경기도 평택시 안중읍 안중믿음길 32
시흥능곡중학교,37.365025,126.8147195,공립,경기도 시흥시 능곡로 117
오금중학교,37.50527064,127.1288011,공립,서울특별시 송파구 오금로35길 20
도농중학교,37.61089827,127.1634353,공립,경기도 남양주시 미금로 234
와동중학교,37.3386135,126.8309045,공립,경기도 안산시 단원구 사세충열로 54
화광중학교,37.65276413,127.3349525,공립,경기도 남양주시 화도읍 경춘로 2226
목암중학교,37.71407596,126.9057794,공립,경기도 고양시 덕양구 푸른마을로 65
서호중학교,37.26639752,126.987794,공립,경기도 수원시 권선구 서호로 71
별가람중학교,37.65912402,127.1225367,공립,경기도 남양주시 별내3로 232
방원중학교,37.57597576,126.8086174,공립,서울특별시 강서구 금낭화로 268
안양중학교,37.40925264,126.8966844,공립,경기도 안양시 만안구 와룡로 53
안용중학교,37.20588892,127.0190498,사립,경기도 화성시 효행로 833
동작중학교,37.49546195,126.9778016,공립,서울특별시 동작구 동작대로39가길 83
영파여자중학교,37.53273562,127.1197395,사립,서울특별시 송파구 올림픽로 565
강남중학교,37.50276263,126.9233466,공립,서울특별시 동작구 대방동15길 29
성지중학교,37.27403886,127.1281168,공립,경기도 용인시 기흥구 강남서로 26
동성중학교,37.28470754,127.0349611,공립,경기도 수원시 팔달구 월드컵로 293
영복여자중학교,37.28559857,127.0028572,사립,경기도 수원시 팔달구 장안로7번길 49
용인대덕중학교,37.33674758,127.1276076,공립,경기도 용인시 수지구 죽전로293번길 12
개봉중학교,37.50352932,126.8423998,공립,서울특별시 구로구 고척로21나길 68
매향중학교,37.28575833,127.019207,사립,경기도 수원시 팔달구 수원천로392번길 44-22
포곡중학교,37.2797216,127.2213922,공립,경기도 용인시 처인구 포곡읍 석성로 1176
세교중학교,37.01353715,127.0886148,공립,경기도 평택시 영신로 198
송파중학교,37.49592462,127.129914,공립,서울특별시 송파구 동남로 203
비전중학교,37.00726282,127.102831,공립,경기도 평택시 평남로 972
동암중학교,37.72156197,127.0586199,공립,경기도 의정부시 장곡로226번길 132
서운중학교,37.49394851,127.0245382,공립,서울특별시 서초구 서운로 115
신도림중학교,37.51074073,126.8848071,공립,서울특별시 구로구 경인로63길 74
전농중학교,37.58204428,127.0592794,공립,서울특별시 동대문구 사가정로13길 71
염창중학교,37.55426407,126.8717473,공립,서울특별시 강서구 양천로67가길 83
한국글로벌중학교,37.45851798,126.8323613,사립,경기도 시흥시 금오로 640
화홍중학교,37.24728058,127.0347228,공립,경기도 수원시 권선구 덕영대로1323번길 25-11
신구중학교,37.52744229,127.0316727,공립,서울특별시 강남구 압구정로36길 17
지산중학교,37.72474308,126.752353,공립,경기도 파주시 미래로 532
오주중학교,37.50150661,127.1362653,공립,서울특별시 송파구 동남로 281
하안북중학교,37.46508438,126.8677256,공립,경기도 광명시 가림로 22
성심여자중학교,37.53420937,126.9545934,사립,서울특별시 용산구 원효로19길 49
안성여자중학교,37.00836663,127.275693,공립,경기도 안성시 중앙2길 111
안성중학교,37.01331333,127.2704648,공립,경기도 안성시 금산길 43
호성중학교,37.36691837,126.9637649,공립,경기도 안양시 동안구 호성로 55
인헌중학교,37.47269621,126.9688402,공립,서울특별시 관악구 인헌9길 35
하안중학교,37.46738575,126.8807721,공립,경기도 광명시 안현로 80-1
현산중학교,37.691246,126.774003,공립,경기도 고양시 일산서구 일청로 85
세화여자중학교,37.501983,126.9942300139,사립,서울특별시 서초구 신반포로 56-7
안천중학교,37.45952426,126.8874988,공립,서울특별시 금천구 한내로 69-44
봉영여자중학교,37.50921598,126.8601984,사립,서울특별시 양천구 목동동로2길 68
백학중학교,38.02503151,126.908265,공립,경기도 연천군 백학면 두일로 79
등명중학교,37.56019335,126.8433041,공립,서울특별시 강서구 공항대로39길 39
석수중학교,37.34292546,126.809244,공립,경기도 안산시 단원구 선부로 133
압구정중학교,37.53024224,127.0330027,공립,서울특별시 강남구 압구정로 225
대지중학교,37.33105561,127.116311,공립,경기도 용인시 수지구 대지로51번길 22
호원중학교,37.71929926,127.0446514,공립,경기도 의정부시 호암로 205
은가람중학교,37.575991,127.177033,공립,경기도 하남시 미사강변한강로 9
정왕중학교,37.34018306,126.7424822,공립,경기도 시흥시 정왕대로298번길 28
광주중학교,37.40965522,127.2543702,공립,경기도 광주시 경안로42번길 11
용인중학교,37.23861861,127.2005664,공립,경기도 용인시 처인구 금학로341번길 8
안양여자중학교,37.403565,126.9163223,사립,경기도 안양시 만안구 안양로 357
충의중학교,37.74200365,127.0902726,공립,경기도 의정부시 용현로 125
