면허번호,업종명,사업자구분,업체명,주사무소 우편번호,주사무소 주소,주사무소 상세주소,팩스번호,관할관청,면허상태
150139,화물주선업,개인,청산통운,08055,서울특별시 양천구 신정로 167,3동 1층 1127호 (신정동),,양천구,정상
150078,화물주선업,개인,서우물류,08055,서울특별시 양천구 신정로 167,"1동 2층 11호 (신정동, 서부트럭터미널)",,양천구,정상
150115,화물주선업,개인,충무운수,08055,서울특별시 양천구 신정로 167,"A동 102호(신정동, 서부트럭터미널) ",,양천구,정상
20010,화물주선업,개인,코리아인터내셔날,04515,서울특별시 중구 서소문로 113,대영빌딩 502호 (서소문동),,중구,정상
230055,화물주선업,개인,신세대특송,07290,서울특별시 영등포구 경인로77길 14,102호 (문래동2가),,영등포구,정상
220533,화물주선업,법인,제이엠티앤엘(주),06734,서울특별시 서초구 서운로 19,"1907호(서초동,서초월드오피스텔)",,서초구,정상
170007,화물주선업,개인,이화물류,08110,서울특별시 양천구 신정로 167,", B동 101호(신정동,서부트럭터미널)",,양천구,정상
220092,화물주선업,개인,대흥익스프레스,136-140,서울특별시 성북구 장위동,262-13(좌측1호),,성북구,정상
190053,화물주선업,개인,스피드퀵서비스,02586,서울특별시 동대문구 청계천로 433,412호 (신설동),,동대문구,정상
120006,화물주선업,개인,효자익스프레스,03034,서울특별시 종로구 필운대로7길 6-8,1층 (옥인동),,종로구,정상
150102,화물주선업,법인,(주)영신통운,08055,서울특별시 양천구 신정로 167,"3동 1층 1123호 (신정동, 서부트럭터미널)",,양천구,정상
220691,화물주선업,개인,포시즌익스프레스,08623,서울특별시 금천구 시흥대로80길 1,102호 (독산동),,금천구,정상
30018,화물주선업,법인,(주)중앙대성물류,04337,서울특별시 용산구 두텁바위로38길 12,지층 (후암동),,용산구,정상
190112,화물주선업,개인,아름다운이사,08766,서울특별시 관악구 조원중앙로2길 101, (신림동),,관악구,정상
190049,화물주선업,개인,삼성익스프레스,150-050,서울특별시 영등포구 신길동,4934-1삼성(아)상가 109,,영등포구,정상
150252,화물주선업,개인,남부화물터미널,08055,서울특별시 양천구 신정로 167,"1동 3층 5호 (신정동, 서부트럭터미널)",,양천구,정상
150080,화물주선업,법인,주식회사진넥스카고,06367,서울특별시 강남구 수서동,724 로즈데일오피스텔 1334호,,강남구,정상
120021,화물주선업,개인,삼성익스프레스,03433,서울특별시 은평구 갈현로7길 36,1층 (역촌동),,은평구,정상
150034,화물주선업,법인,창덕라인,158-070,서울특별시 양천구 신정동,812 서부트럭터미널 B-232,,양천구,정상
